#,Done,Line,Section,Words saved,Why,FIND (old text),REPLACE WITH (new text)
32,,369,VII-E Adversarial,19,Three sentences to make a two-part distinction,"We ran the provenance-abuse scenario live. A software gatekeeper node executing the same five-dimensional decision function fronted an actuator topic while a legitimate node and a compromised node both published with valid credentials for the same authorized subject, the compromised node at five times the legitimate rate. Over a 30-second session the policy blocked 18{,}878 of 18{,}878 injection attempts, a block rate of 100\% with a one-sided 95\% Wilson lower bound of 99.99\%, and passed 17{,}059 of 17{,}059 legitimate commands, a false positive rate of 0\% with a 95\% upper bound of 0.02\%. This demo and the board run carry two separate claims. The demo establishes what the five-dimensional policy semantics block under sustained adversarial load. The silicon run establishes that the synthesized kernel computes identical decisions on all 2{,}307 corpus requests. Neither claim substitutes for the other. Under three- or four-dimensional policy every one of those injections would have been admitted, because the attacker's identity triple and state context were valid. Only the provenance dimension separates the two traffic streams.","We ran the provenance-abuse scenario live. A software gatekeeper node running the same five-dimensional decision function fronted an actuator topic while a legitimate node and a compromised node both published with valid credentials for the same subject, the compromised node at five times the legitimate rate. Over a 30-second session the policy blocked 18{,}878 of 18{,}878 injection attempts, a 100\% block rate with a one-sided 95\% Wilson lower bound of 99.99\%, and passed 17{,}059 of 17{,}059 legitimate commands, a 0\% false positive rate with a 95\% upper bound of 0.02\%. This run and the silicon run carry separate claims. The first establishes what the five-dimensional semantics block under sustained adversarial load, the second that the synthesized kernel reproduces those decisions on all 2{,}307 corpus requests. Under three- or four-dimensional policy every injection would have been admitted, because the attacker's identity triple and state context were valid. Only provenance separates the two streams."
33,,371,VII-E Adversarial,4,"Trim 'architectural', 'strictly', 'measured'","The same runs measured the timing-window property. Under both idle and saturated CPU load, zero authorization callbacks of 8{,}733 exceeded the 50~$\mu$s lower bound of DDS localhost propagation. We report this strictly as a null result. The architectural argument stands on (4): a synthesis-time bound below the propagation floor closes the window by construction, which no measured software mean can do.","The same runs measured the timing window. Under idle and saturated CPU load, zero of 8{,}733 authorization callbacks exceeded the 50~$\mu$s lower bound of DDS localhost propagation. We report this as a null result. The argument stands on (4): a synthesis-time bound below the propagation floor closes the window by construction, which no software mean can do."
34,,376,VII-F On silicon,4,Comma splice,"\new{Co-simulation is cycle accurate, but it is still simulation. We placed the five-dimensional kernel on a PYNQ-Z1 at 100~MHz behind an AXI Timer and read the decision interval out of a hardware-latched counter. Table~\ref{tab:board} reports the result against the co-simulated counts.}",\new{Co-simulation is cycle accurate but still simulation. We placed the five-dimensional kernel on a PYNQ-Z1 at 100~MHz behind an AXI Timer and read the decision interval from a hardware-latched counter. Table~\ref{tab:board} reports it against the co-simulated counts.}
35,,397,VII-F On silicon,15,Escalating tricolon -> checkable claim,"\new{The board tracks co-simulation with a constant 25-cycle offset at all six policy sizes, and minimum, mean and maximum are equal on silicon exactly as they are in simulation. The offset is the AXI-Lite handshake that moves the request into the kernel and the decision back out, and being constant it enters the closed form of (4) as an additive term rather than a source of variance. The determinism argued from pipeline structure in Section~\ref{sec:arch} therefore survives contact with the fabric, the interface, and the part.}","\new{The board tracks co-simulation with a constant 25-cycle offset at all six policy sizes, and minimum, mean and maximum are equal on silicon as they are in simulation. The offset is the AXI-Lite handshake that moves the request in and the decision out. Being constant, it enters (4) as an additive term rather than a source of variance. The determinism argued from pipeline structure in Section~\ref{sec:arch} holds on the real part.}"
36,,399,VII-F On silicon,45,Cut the justification for reporting; keep the explanation,"\new{The same board run measured round-trip latency from the processing system, and that number behaves differently. Mean round trip rises from 2.09~$\mu$s at four rules to 4.77~$\mu$s at 500, but the maximum reaches 5.92~ms at 500 rules, more than three orders of magnitude above its own mean. We report this because it is the honest counterpart to Table~\ref{tab:board} and because it makes the paper's argument on the paper's own hardware. The fabric is invariant and the counter proves it. The millisecond tail is contributed entirely by the Linux userspace stack on the board's Cortex-A9 between the timer read and the application, which is the identical mechanism we attribute the i7's tail to in Section~\ref{subsec:comparison}. A deterministic primitive does not confer determinism on a non-deterministic caller. It bounds the part of the path a designer can bound, and Table~\ref{tab:board} is the part we claim.}","\new{The same run measured round-trip latency from the processing system, and that number behaves differently. Mean round trip rises from 2.09~$\mu$s at four rules to 4.77~$\mu$s at 500, but the maximum reaches 5.92~ms at 500 rules, three orders of magnitude above its own mean. The tail comes entirely from the Linux userspace stack on the board's Cortex-A9 between the timer read and the application, the same mechanism behind the i7's tail in Section~\ref{subsec:comparison}. A deterministic primitive does not make a non-deterministic caller deterministic. It bounds the part of the path a designer can bound, and Table~\ref{tab:board} is that part.}"
37,,401,VII-G Mean vs WC,7,"Heading should be indexable, not an essay title","\subsection{The comparison we do not make, and the one we do}",\subsection{Mean versus worst case}
38,,404,VII-G Mean vs WC,12,"Lead with the concession in 6 words, not 22","It might be tempting to infer from Table~\ref{tab:cycles} that the fabric outpaces the CPU. That inference would be incorrect, and we pre-empt it. At 500 rules","The fabric does not outpace the CPU, and we say so directly. At 500 rules"
39,,404,VII-G Mean vs WC,4,Colon splice; 'both concessions on one wall-clock axis',"The defensible comparison is the worst case, and there the ordering reverses: the software path's worst observed decision at 200 rules was 355.4~$\mu$s against the fabric's invariant 1.12~$\mu$s, and its worst at four rules was 298.8~$\mu$s against 0.14~$\mu$s. Further, the software figure is an observation, not a bound. The 157~$\mu$s outlier in the DCAS baseline arrived in a run whose mean was 1.14~$\mu$s \cite{karim2026dcas}. An operating system does not guarantee its own tail, and a control loop budgets for the tail. Figure~\ref{fig:tail} plots both concessions on one wall-clock axis. The software mean runs below the hardware bound at every policy size. The software worst case runs above it at every size, by more than three orders of magnitude at four rules, and it does not track policy size, because the tail belongs to the scheduler and not to the policy.","The defensible comparison is the worst case, and there the ordering reverses. The software path's worst observed decision at 200 rules was 355.4~$\mu$s against the fabric's invariant 1.12~$\mu$s, and its worst at four rules was 298.8~$\mu$s against 0.14~$\mu$s. Further, the software figure is an observation, not a bound: the 157~$\mu$s outlier in the DCAS baseline arrived in a run whose mean was 1.14~$\mu$s \cite{karim2026dcas}. An operating system does not guarantee its own tail, and a control loop budgets for the tail. Figure~\ref{fig:tail} plots both. The software mean runs below the hardware bound at every policy size and the worst case runs above it at every size, by more than three orders of magnitude at four rules. The worst case does not track policy size, because the tail belongs to the scheduler and not to the policy."
40,,416,VII-G Mean vs WC,19,Defensive throat-clearing before a supported claim,"For completeness we place general-purpose policy engines on the same axis. In an earlier evaluation, Open Policy Agent averaged 271.491~$\mu$s per decision with 13 deadline misses \cite{karim2026tsngac}, and an XACML OpenPDP deployment averaged roughly 50~ms \cite{karim2026dcas, oasisxacml}. These engines evaluate far richer policy than (2) expresses, and we do not fault their generality. We observe only that they occupy a latency regime three to five orders of magnitude above the closed form of (4), which is the regime that keeps authorization out of control paths.","General-purpose policy engines sit on the same axis. In an earlier evaluation, Open Policy Agent averaged 271.491~$\mu$s per decision with 13 deadline misses \cite{karim2026tsngac}, and an XACML OpenPDP deployment averaged roughly 50~ms \cite{karim2026dcas, oasisxacml}. These engines evaluate far richer policy than (2) expresses. They also occupy a latency regime three to five orders of magnitude above (4), the regime that keeps authorization out of control paths."
41,,421,VIII Limitations,61,Cut opener; 3 duplications of text already in IV and VI,"Our claims are bounded by several factors, and we state them plainly. \new{First, the parity result covers three, four and five dimensions on one part at one clock, and the three kernels differ only in the conjunction terms of the rule check. We have not shown that an arbitrary sixth dimension is free, only that these two were, and Section~\ref{sec:arch} names the mechanism that would end the pattern.} \new{Second,} the software baseline is a 4.96~GHz laptop CPU while the fabric runs at 100~MHz; an embedded-class CPU baseline on the board's own Cortex-A9 would make the wall-clock comparison fairer to the fabric, and we did not run it. \new{Our board data bounds the fabric and the interface but not a software decision path on the same silicon.} \new{Third,} software latency distributions were measured under WSL2, whose scheduler jitter contaminates maxima, which is why we cite worst observed values and never call them WCETs. \new{Fourth,} the primitive is capacity-bounded at 512 rules and 256 policy nodes, and policy update happens off the decision path. \new{Fifth,} one baseline, the modeled external-state lookup, is synthetic, and we excluded it from every empirical claim after finding it added nothing the measured SQLite path does not show. \new{Sixth,} the kernel compiles only the association subset of INCITS 565. Prohibitions, obligations and administrative relations are not implemented, so no claim here extends beyond rules that grant. \new{Seventh,} the zero-cycle result is demonstrated at one operating point, 100~MHz on a Zynq-7020, where \new{all three} kernels close timing with identical +0.33~ns slack. At an aggressive clock target \new{an} added dimension could force an additional pipeline stage, which is exactly the boundary the hypothesis of Section~\ref{sec:model} predicts\new{, and the two-to-three step in iteration latency between three and four dimensions shows the mechanism already operating below the threshold where it would cost cycles}. Characterizing that frequency ceiling is future work.","\new{First, the parity result covers three, four and five dimensions on one part at one clock. We have not shown that an arbitrary sixth dimension is free, only that these two were, and Section~\ref{sec:arch} names the mechanism that would end the pattern.} \new{Second,} the software baseline is a 4.96~GHz laptop CPU while the fabric runs at 100~MHz. A baseline on the board's own Cortex-A9 would make the wall-clock comparison fairer, and we did not run it. \new{The board data bounds the fabric and the interface, not a software decision path on the same silicon.} \new{Third,} software latency distributions were measured under WSL2, whose scheduler jitter contaminates maxima, which is why we cite worst observed values and never call them WCETs. \new{Fourth,} the primitive is capacity-bounded at 512 rules and 256 policy nodes, and policy update happens off the decision path. \new{Fifth,} the modeled external-state lookup is synthetic and excluded from every empirical claim, since the measured SQLite path shows the same thing. \new{Sixth,} the kernel compiles only the association subset of INCITS 565, so no claim extends beyond rules that grant. \new{Seventh,} the zero-cycle result holds at one operating point, 100~MHz on a Zynq-7020, where \new{all three} kernels close timing with +0.33~ns slack. At an aggressive clock target \new{an} added dimension could force another pipeline stage, the boundary the hypothesis of Section~\ref{sec:model} predicts\new{. The two-to-three step in iteration latency already shows that mechanism operating below the threshold where it costs cycles}. Characterizing the frequency ceiling is future work."
42,,426,IX Conclusion,6,"'structure our next steps', 'precisely'","Four questions structure our next steps. \new{1.~At what clock frequency does the next dimension stop being free, and does that ceiling move with policy width or only with stage depth? 2.~What does a decision path in software on the board's own Cortex-A9 cost, so the wall-clock comparison runs at one class of silicon?} 3.~Does the closed form of (4) survive a dynamic policy update path, or does update traffic reintroduce jitter? 4.~How does the primitive compose with time-scoped delegation, which TS-NGAC develops in software \cite{karim2026tsngac}? Further, we call on the community to report authorization performance as cycle-level worst cases rather than means, because a mean is precisely the statistic a control loop cannot budget against.","Four questions follow. \new{1.~At what clock does the next dimension stop being free, and does that ceiling move with policy width or only with stage depth? 2.~What does a software decision path on the board's own Cortex-A9 cost, so the wall-clock comparison runs at one class of silicon?} 3.~Does the closed form of (4) survive a dynamic policy update path, or does update traffic reintroduce jitter? 4.~How does the primitive compose with time-scoped delegation, which TS-NGAC develops in software \cite{karim2026tsngac}? Further, we call on the community to report authorization performance as cycle-level worst cases rather than means, because a mean is the statistic a control loop cannot budget against."
43,,428,IX Conclusion,9,"100-word sentence, 3 comma splices; un-invert permit claim","In conclusion, we extended the H-NGAC bitmask primitive with system-state and command-provenance dimensions and synthesized \new{three-, }four- and five-dimensional kernels to a Zynq-7020. The added \new{dimensions} cost zero clock cycles and \new{1{,}336} LUTs, latency is closed-form at $12 + n/2$ cycles with zero jitter by construction \new{and is confirmed on silicon by a hardware-latched counter, the same corpus that the five-dimensional kernel denies 1{,}443 times is permitted in full by the three-dimensional kernel at identical cycle cost}, and the five-dimensional policy blocked 18{,}878 of 18{,}878 credentialed injection attempts in ROS~2 with zero false positives in 17{,}059 legitimate commands. Robotics platform engineers and functional-safety engineers can treat the authorization worst case as a synthesis parameter, place the decision inside the control loop budget, and close the two attack classes that identity-based authorization admits. Layla's interlock becomes a policy bit the fabric checks in bounded time, not a procedure she hopes the operator follows.","We extended the H-NGAC bitmask primitive with system-state and command-provenance dimensions and synthesized \new{three-, }four- and five-dimensional kernels to a Zynq-7020. The added \new{dimensions} cost zero clock cycles and \new{1{,}336} LUTs. Latency is closed-form at $12 + n/2$ cycles with zero jitter by construction\new{, confirmed on silicon by a hardware-latched counter. At identical cycle cost, the three-dimensional kernel permits in full the same corpus the five-dimensional kernel denies 1{,}443 times}, and the five-dimensional policy blocked 18{,}878 of 18{,}878 credentialed injection attempts in ROS~2 with zero false positives in 17{,}059 legitimate commands. Robotics and functional-safety engineers can treat the authorization worst case as a synthesis parameter, place the decision inside the control loop budget, and close the two attack classes identity-based authorization admits. Layla's interlock becomes a policy bit the fabric checks in bounded time, not a procedure she hopes the operator follows."
